
2024/01/11 (21:59:05) | ===> btop++ v.1.3.0
2024/01/11 (21:59:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/11 (22:02:30) | ===> btop++ v.1.3.0
2024/01/11 (22:02:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/11 (22:02:33) | ===> btop++ v.1.3.0
2024/01/11 (22:02:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/11 (22:02:36) | ===> btop++ v.1.3.0
2024/01/11 (22:02:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/11 (22:03:52) | ===> btop++ v.1.3.0
2024/01/11 (22:03:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/11 (22:04:04) | ===> btop++ v.1.3.0
2024/01/11 (22:04:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/14 (22:51:34) | ===> btop++ v.1.3.0
2024/01/14 (22:51:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/15 (13:50:06) | ===> btop++ v.1.3.0
2024/01/15 (13:50:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/16 (21:04:56) | ===> btop++ v.1.3.0
2024/01/16 (21:04:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/16 (23:00:55) | ===> btop++ v.1.3.0
2024/01/16 (23:00:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/17 (11:54:43) | ===> btop++ v.1.3.0
2024/01/17 (11:54:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/22 (15:19:59) | ===> btop++ v.1.3.0
2024/01/22 (15:19:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/23 (09:26:17) | ===> btop++ v.1.3.0
2024/01/23 (09:26:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/23 (09:26:27) | ===> btop++ v.1.3.0
2024/01/23 (09:26:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/23 (09:27:03) | ===> btop++ v.1.3.0
2024/01/23 (09:27:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/01/27 (08:43:25) | ===> btop++ v.1.3.0
2024/01/27 (08:43:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/02 (15:03:42) | ===> btop++ v.1.3.0
2024/02/02 (15:03:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/03 (13:05:02) | ===> btop++ v.1.3.0
2024/02/03 (13:05:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/03 (13:15:30) | ===> btop++ v.1.3.0
2024/02/03 (13:15:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/12 (21:19:11) | ===> btop++ v.1.3.2
2024/02/12 (21:19:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/12 (21:20:10) | ===> btop++ v.1.3.2
2024/02/12 (21:20:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/19 (15:43:20) | ===> btop++ v.1.3.2
2024/02/19 (15:43:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (11:55:16) | ===> btop++ v.1.3.2
2024/02/20 (11:55:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (12:08:44) | ===> btop++ v.1.3.2
2024/02/20 (12:08:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/20 (12:21:09) | ===> btop++ v.1.3.2
2024/02/20 (12:21:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (19:46:54) | ===> btop++ v.1.3.2
2024/02/24 (19:46:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/24 (19:53:16) | ===> btop++ v.1.3.2
2024/02/24 (19:53:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
